名称,内容,关键词,来源,内容1,价格,地区,地址
合租·和平里小区南区 3居室 南卧        ,"
        武清-杨村-和平里小区南区
        /
        20㎡
        /南        /
          3室2厅1卫        
          /
          低楼层                        （7层）
                  
      ","
            集中供暖
            随时看房
            ","
            贝壳优选          ",24天前维护,600 元/月,武清,杨村
"
          独栋·龙湖冠寓 天津空港店 2H01 开间        ","
                  仅剩1间
          /
                44㎡
        /1间在租        /
        1室0厅1卫      ","
                  独栋公寓
                  月租
              ","
            龙湖冠寓          ",2天前维护,1477 元/月,,
"
          合租·和平里小区南区 3居室 南卧        ","
        武清-杨村-和平里小区南区
        /
        25㎡
        /南        /
          3室2厅1卫        
          /
          低楼层                        （7层）
                  
      ","
            集中供暖
            随时看房
            ","
            贝壳优选          ",24天前维护,500 元/月,武清,杨村
"
          独栋·柚米国际社区 柚米寓天津西青店 大阳台一室 1室1厅        ","
                  仅剩3间
          /
                30㎡
        /3间在租        /
        1室1厅1卫      ","
                  独栋公寓
                  月租
                  有阳台
                  开放厨房
                  押一付一
              ","
            柚米国际社区          ",1天前维护,1730-2398 元/月,,
"
          合租·泰兴公寓 4居室 北卧        ","
        河东-靖江路-泰兴公寓
        /
        15㎡
        /北        /
          4室1厅1卫        
          /
          中楼层                        （6层）
                  
      ","
            近地铁
            精装
            集中供暖
            随时看房
            ","
            贝壳优选          ",5个月前维护,1000 元/月,河东,靖江路
"
          独栋·龙湖冠寓 天津卫国道店 房型C小自在 开间        ","
                24㎡
        /10间在租        /
        1室0厅1卫      ","
                  独栋公寓
                  月租
                  近地铁
              ","
            龙湖冠寓          ",今天维护,1425 元/月,,
"
          合租·黄岩里 2居室 北卧        ","
        河东-二号桥街-黄岩里
        /
        14㎡
        /北        /
          2室1厅1卫        
          /
          高楼层                        （6层）
                  
      ","
            近地铁
            集中供暖
            随时看房
            ","
            贝壳优选          ",5个月前维护,1000 元/月,河东,二号桥街
"
          合租·晋丰大厦 3居室 东北卧        ","
        南开-鼓楼街-晋丰大厦
        /
        15㎡
        /东北        /
          3室2厅2卫        
          /
          低楼层                        （16层）
                  
      ","
            近地铁
            精装
            集中供暖
            随时看房
            ","
            贝壳优选          ",1个月前维护,1350 元/月,南开,鼓楼街
"
          合租·颐洋花园 3居室 南卧        ","
        武清-下朱庄-颐洋花园
        /
        20㎡
        /南        /
          3室1厅1卫        
          /
          高楼层                        （8层）
                  
      ","
            集中供暖
            随时看房
            ","
            贝壳优选          ",4个月前维护,500 元/月,武清,下朱庄
"
          合租·亿馨园 3居室 南卧        ","
        武清-下朱庄-亿馨园
        /
        20㎡
        /南        /
          3室2厅1卫        
          /
          高楼层                        （6层）
                  
      ","
            集中供暖
            随时看房
            ","
            贝壳优选          ",4个月前维护,500 元/月,武清,下朱庄
"
          合租·君利花园 2居室 北卧        ","
        武清-下朱庄-君利花园
        /
        19㎡
        /北        /
          2室2厅1卫        
          /
          中楼层                        （26层）
                  
      ","
            精装
            集中供暖
            随时看房
            ","
            贝壳优选          ",4个月前维护,750 元/月,武清,下朱庄
"
          合租·明华里 4居室 跃层 南卧        ","
        红桥-铃铛阁-明华里
        /
        18㎡
        /南        /
          4室1厅1卫        
          /
          高楼层                        （7层）
                  
      ","
            公寓
            月租
            近地铁
            精装
            独立阳台
            随时看房
            ","
            中睿地产          ",10天前维护,760 元/月,红桥,铃铛阁
"
          合租·逸溪苑 4居室 南卧        ","
        武清-南湖-逸溪苑
        /
        20㎡
        /南        /
          4室1厅2卫        
          /
          高楼层                        （8层）
                  
      ","
            精装
            集中供暖
            随时看房
            ","
            贝壳优选          ",3个月前维护,500 元/月,武清,南湖
"
          合租·仁恒滨河湾 3居室 北卧        ","
        海河教育园区-咸水沽-仁恒滨河湾
        /
        9㎡
        /北        /
          3室1厅1卫        
          /
          高楼层                        （30层）
                  
      ","
            公寓
            精装
            集中供暖
            押一付一
            随时看房
            ","
            自如          ",1天前维护,790 元/月,海河教育园区,咸水沽
"
          合租·社会山北苑 4居室 北卧        ","
        西青-张家窝-社会山北苑
        /
        7㎡
        /北        /
          4室1厅1卫        
          /
          低楼层                        （9层）
                  
      ","
            精装
            集中供暖
            随时看房
            ","
            贝壳优选          ",1个月前维护,660 元/月,西青,张家窝
"
          合租·社会山南苑 4居室 南卧        ","
        西青-张家窝-社会山南苑
        /
        14㎡
        /南        /
          4室1厅1卫        
          /
          高楼层                        （20层）
                  
      ","
            精装
            集中供暖
            随时看房
            ","
            贝壳优选          ",5个月前维护,880 元/月,西青,张家窝
"
          整租·福至里 1室1厅 东        ","
        河西-下瓦房-福至里
        /
        22㎡
        /东        /
          1室1厅1卫        
          /
          高楼层                        （8层）
                  
      ","
            近地铁
            集中供暖
            随时看房
            ","
            贝壳优选          ",20天前维护,1900 元/月,河西,下瓦房
"
          合租·住总尚清湾 3居室 南卧        ","
        武清-武清其它-住总尚清湾
        /
        25㎡
        /南        /
          3室1厅1卫        
          /
          中楼层                        （16层）
                  
      ","
            精装
            集中供暖
            随时看房
            ","
            贝壳优选          ",24天前维护,900 元/月,武清,武清其它
"
          合租·程华里 5居室 南卧        ","
        西青-华苑-程华里
        /
        20㎡
        /南        /
          5室1厅1卫        
          /
          中楼层                        （6层）
                  
      ","
            精装
            集中供暖
            随时看房
            ","
            贝壳优选          ",5个月前维护,1300 元/月,西青,华苑
"
          合租·程华里 5居室 南卧        ","
        西青-华苑-程华里
        /
        14㎡
        /南        /
          5室1厅1卫        
          /
          中楼层                        （6层）
                  
      ","
            精装
            集中供暖
            随时看房
            ","
            贝壳优选          ",5个月前维护,1200 元/月,西青,华苑
"
          整租·季景华庭［季景园］ 2室2厅 北        ","
        滨海新区-中新生态城-季景华庭［季景园］
        /
        108㎡
        /北        /
          2室2厅1卫        
          /
          中楼层                        （13层）
                  
      ","
            集中供暖
            随时看房
            ","
            贝壳优选          ",22天前维护,2100 元/月,滨海新区,中新生态城
"
          合租·金谷园 3居室 北卧        ","
        南开-体育中心街-金谷园
        /
        11㎡
        /北        /
          3室1厅1卫        
          /
          中楼层                        （6层）
                  
      ","
            公寓
            近地铁
            精装
            集中供暖
            押一付一
            随时看房
            ","
            自如          ",今天维护,1190 元/月,南开,体育中心街
"
          整租·世茂鲲玺园 2室1厅 南        ","
        滨海新区-中新生态城-世茂鲲玺园
        /
        100㎡
        /南        /
          2室1厅1卫        
          /
          高楼层                        （18层）
                  
      ","
            精装
            集中供暖
            随时看房
            ","
            贝壳优选          ",今天维护,1900 元/月,滨海新区,中新生态城
"
          合租·路劲太阳城皓林园 4居室 北卧        ","
        河东-太阳城-路劲太阳城皓林园
        /
        9㎡
        /北        /
          4室1厅2卫        
          /
          低楼层                        （33层）
                  
      ","
            公寓
            近地铁
            精装
            集中供暖
            押一付一
            随时看房
            ","
            自如          ",今天维护,1090 元/月,河东,太阳城
"
          整租·金川西里 2室1厅 南/北        ","
        南开-嘉陵道街-金川西里
        /
        75㎡
        /南 北        /
          2室1厅1卫        
          /
          高楼层                        （6层）
                  
      ","
            集中供暖
            随时看房
            ","
            贝壳优选          ",8天前维护,2150 元/月,南开,嘉陵道街
